timestamp_s,output[0],output[1],output[2],output[3]
40.92,762.0,754.0,775.0,785.0
41.02,762.0,754.0,775.0,785.0
41.12,764.0,755.0,774.0,784.0
41.22,766.0,758.0,771.0,781.0
41.32,769.0,760.0,768.0,779.0
41.42,772.0,763.0,765.0,776.0
41.52,774.0,765.0,763.0,774.0
41.62,776.0,767.0,761.0,772.0
41.72,776.0,768.0,761.0,771.0
41.82,776.0,769.0,760.0,771.0
41.92,776.0,768.0,760.0,771.0
42.02,775.0,767.0,761.0,772.0
42.12,775.0,766.0,762.0,773.0
42.22,774.0,766.0,762.0,773.0
42.32,773.0,765.0,763.0,774.0
42.416,773.0,764.0,763.0,774.0
42.52,772.0,764.0,763.0,775.0
42.62,772.0,764.0,763.0,775.0
42.72,772.0,764.0,763.0,775.0
42.82,772.0,764.0,764.0,775.0
42.92,773.0,764.0,763.0,775.0
43.02,772.0,765.0,764.0,775.0
43.12,773.0,764.0,763.0,775.0
43.22,773.0,765.0,763.0,775.0
43.32,773.0,765.0,763.0,774.0
43.42,773.0,765.0,763.0,774.0
43.52,773.0,765.0,763.0,774.0
43.62,773.0,765.0,763.0,774.0
43.72,773.0,765.0,763.0,774.0
43.82,774.0,765.0,763.0,774.0
43.92,774.0,764.0,763.0,774.0
44.02,773.0,765.0,763.0,775.0
44.12,774.0,764.0,763.0,774.0
44.22,773.0,765.0,763.0,774.0
44.32,774.0,764.0,763.0,774.0
44.42,813.0,850.0,852.0,799.0
44.52,838.0,730.0,731.0,823.0
44.62,812.0,732.0,730.0,805.0
44.72,796.0,766.0,766.0,796.0
44.82,792.0,786.0,790.0,796.0
44.92,788.0,791.0,797.0,796.0
45.02,786.0,787.0,795.0,795.0
45.12,783.0,783.0,791.0,791.0
45.22,780.0,779.0,786.0,787.0
45.32,777.0,779.0,783.0,782.0
45.42,776.0,779.0,779.0,778.0
45.52,774.0,778.0,777.0,774.0
45.62,773.0,777.0,773.0,770.0
45.72,772.0,777.0,771.0,768.0
45.82,772.0,775.0,770.0,767.0
45.92,771.0,775.0,770.0,766.0
46.02,771.0,774.0,769.0,766.0
46.12,770.0,773.0,770.0,766.0
46.22,770.0,773.0,770.0,767.0
46.32,769.0,773.0,770.0,768.0
46.42,769.0,771.0,771.0,768.0
46.52,768.0,770.0,771.0,768.0
46.62,767.0,769.0,772.0,768.0
46.72,767.0,768.0,771.0,769.0
46.816,766.0,768.0,771.0,769.0
46.92,766.0,768.0,771.0,769.0
47.02,767.0,768.0,770.0,769.0
47.12,768.0,768.0,771.0,769.0
47.22,768.0,769.0,771.0,769.0
47.32,769.0,769.0,770.0,769.0
47.42,813.0,764.0,825.0,771.0
47.52,789.0,736.0,811.0,731.0
47.62,772.0,755.0,784.0,750.0
47.72,770.0,771.0,769.0,767.0
47.82,773.0,778.0,765.0,772.0
47.92,773.0,780.0,764.0,773.0
48.02,773.0,780.0,765.0,771.0
48.12,771.0,779.0,765.0,771.0
48.22,770.0,777.0,766.0,771.0
48.32,769.0,776.0,766.0,771.0
48.42,768.0,775.0,766.0,772.0
48.52,767.0,774.0,767.0,773.0
48.62,766.0,773.0,768.0,773.0
48.72,765.0,772.0,767.0,773.0
48.82,765.0,772.0,767.0,774.0
48.92,765.0,772.0,768.0,773.0
49.02,765.0,772.0,768.0,773.0
49.12,765.0,773.0,767.0,773.0
49.22,766.0,772.0,767.0,772.0
49.32,765.0,773.0,766.0,773.0
49.42,766.0,772.0,767.0,771.0
49.52,766.0,773.0,766.0,772.0
49.62,766.0,773.0,766.0,771.0
49.72,766.0,773.0,766.0,771.0
49.82,766.0,773.0,766.0,772.0
49.92,766.0,774.0,766.0,772.0
50.02,766.0,774.0,766.0,772.0
50.12,766.0,774.0,766.0,772.0
50.22,766.0,773.0,766.0,773.0
50.32,771.0,816.0,773.0,819.0
50.42,739.0,798.0,735.0,807.0
50.52,756.0,780.0,753.0,783.0
50.62,768.0,777.0,766.0,776.0
50.72,775.0,778.0,772.0,774.0
50.82,777.0,780.0,773.0,774.0
50.92,778.0,778.0,773.0,773.0
51.02,777.0,778.0,771.0,772.0
51.12,776.0,775.0,772.0,770.0
51.22,774.0,774.0,771.0,770.0
51.32,773.0,772.0,772.0,769.0
51.42,772.0,770.0,771.0,769.0
